Year,Month,Day,WS,WD
2025,1,1,4.9,50
2025,1,2,2.9,40
2025,1,3,6.8,40
2025,1,4,7.6,40
2025,1,5,2.1,350
2025,1,6,5.1,50
2025,1,7,5.7,50
2025,1,8,4,30
2025,1,9,7.2,40
2025,1,10,8,40
2025,1,11,5.4,30
2025,1,12,5.2,40
2025,1,13,6.5,60
2025,1,14,3.7,60
2025,1,15,4.6,40
2025,1,16,6.5,40
2025,1,17,6.1,40
2025,1,18,5,30
2025,1,19,2.1,50
2025,1,20,5.2,40
2025,1,21,5.8,60
2025,1,22,4.8,60
2025,1,23,1.6,60
2025,1,24,3.6,50
2025,1,25,4.6,40
2025,1,26,3.1,330
2025,1,27,4.6,40
2025,1,28,6.5,40
2025,1,29,6.7,50
2025,1,30,6,40
2025,1,31,4.4,40
2025,2,1,2,180
2025,2,2,2.3,60
2025,2,3,3.9,40
2025,2,4,6.7,40
2025,2,5,6,40
2025,2,6,3.7,40
2025,2,7,5.7,40
2025,2,8,8.1,40
2025,2,9,6.7,40
2025,2,10,5.7,40
2025,2,11,5.6,60
2025,2,12,2.8,90
2025,2,13,6.8,40
2025,2,14,4.6,40
2025,2,15,1.9,350
2025,2,16,2.9,40
2025,2,17,6,50
2025,2,18,5.8,40
2025,2,19,5.1,40
2025,2,20,2.2,70
2025,2,21,4.3,40
2025,2,22,5.1,60
2025,2,23,5,40
2025,2,24,8.1,40
2025,2,25,4.2,50
2025,2,26,2.7,60
2025,2,27,2.5,80
2025,2,28,2.6,70
2025,3,1,3.4,100
2025,3,2,3.1,100
2025,3,3,2.1,140
2025,3,4,1.8,110
2025,3,5,4,30
2025,3,6,6.2,40
2025,3,7,5.9,40
2025,3,8,3.7,50
2025,3,9,4.5,40
2025,3,10,3.1,80
2025,3,11,2.9,80
2025,3,12,2.7,100
2025,3,13,2,120
2025,3,14,2.3,170
2025,3,15,2,30
2025,3,16,4.4,40
2025,3,17,5.9,40
2025,3,18,4.4,30
2025,3,19,5.9,40
2025,3,20,5.1,40
2025,3,21,5.2,50
2025,3,22,2.3,70
2025,3,23,1.3,80
2025,3,24,1.3,40
2025,3,25,1.4,340
2025,3,26,1.3,290
2025,3,27,1.9,330
2025,3,28,4.2,40
2025,3,29,7.9,40
2025,3,30,7.6,40
2025,3,31,3.9,40
2025,4,1,3.1,40
2025,4,2,3.8,40
2025,4,3,5.4,40
2025,4,4,5.4,60
2025,4,5,2.4,80
2025,4,6,2.5,40
2025,4,7,5.1,60
2025,4,8,1.8,100
2025,4,9,1.4,100
2025,4,10,2,300
2025,4,11,2.7,100
2025,4,12,2.5,290
2025,4,13,3.1,50
2025,4,14,1.8,320
2025,4,15,3.4,50
2025,4,16,3.5,100
2025,4,17,2.3,180
2025,4,18,1.4,280
2025,4,19,1.6,280
2025,4,20,2.3,330
2025,4,21,1.6,330
2025,4,22,2.5,310
2025,4,23,2.7,330
2025,4,24,1.9,320
2025,4,25,3.1,300
2025,4,26,3.1,30
2025,4,27,1.8,330
2025,4,28,3.5,310
2025,4,29,5.4,40
2025,4,30,3.4,80
2025,5,1,2,340
